republican,incumbent,marriage_perception,marriage_opinion,religexempt_perception,religexempt_opinion,gunsbanassault_perception,gunsbanassault_opinion
0,0,35,54,30,42,,60
1,0,80,59,80,44,,64
0,0,65,65,40,39,50,62
0,0,100,47,0,50,,45
1,0,40,62,40,43,,65
1,1,40,62,56,41,,58
0,0,40,47,60,54,,46
1,1,45,65,25,39,,63
1,0,40,54,40,42,20,66
1,1,10,56,60,45,,53
0,0,25,51,40,42,50,66
0,1,65,56,35,42,,55
1,1,65,46,85,48,5,53
1,1,20,58,20,46,,55
0,0,100,55,0,41,85,61
0,1,90,77,15,27,80,73
1,1,10,53,50,46,40,56
0,1,40,49,70,45,70,62
1,0,50,63,40,38,10,63
0,0,45,51,40,46,55,59
0,0,60,42,80,57,,45
1,1,58,63,45,41,,60
0,0,50,64,50,38,,68
1,1,55,58,45,39,,66
0,0,30,56,60,44,,58
0,0,20,47,20,48,10,47
0,0,0,69,0,26,,75
0,0,51,62,45,37,,67
1,0,30,71,65,36,,67
0,1,60,,70,,10,
0,0,65,60,55,46,,61
0,0,55,60,53,38,,67
0,0,10,47,80,48,,52
1,1,20,46,60,51,,45
0,0,60,67,40,36,,69
0,1,80,72,75,35,,68
0,1,60,62,30,31,,72
0,1,40,54,35,30,60,77
0,0,100,62,0,42,,62
0,1,80,78,30,30,,78
0,1,60,71,35,30,,76
1,0,50,71,50,26,50,76
1,1,2,62,90,44,,62
0,0,99,52,50,46,1,55
0,0,50,52,50,43,45,59
1,0,45,40,60,50,40,55
1,1,5,40,80,53,5,48
1,0,50,61,60,39,20,60
0,1,10,45,50,47,0,53
1,0,70,57,70,45,,52
1,1,30,46,60,45,,58
0,0,35,58,35,44,55,66
0,0,70,49,50,47,50,48
0,1,60,65,25,37,,68
1,0,70,53,80,42,50,54
0,0,55,66,20,38,,65
0,1,20,42,30,48,,50
1,0,50,72,40,35,20,68
0,1,50,70,50,29,,69
0,0,80,51,80,47,90,48
1,0,75,71,60,35,15,68
1,0,70,68,30,40,40,70
0,1,75,60,25,35,65,70
1,0,45,52,65,46,10,58
1,0,25,63,50,38,40,61
1,1,5,47,95,55,2,44
0,0,10,47,80,51,,46
0,1,50,58,20,40,,65
1,0,60,68,50,37,,65
0,0,40,53,60,48,,51
0,0,40,45,10,44,75,58
0,1,55,60,40,38,,60
1,1,25,59,70,45,,58
0,1,25,47,50,32,20,74
1,0,50,64,100,36,,70
1,0,45,56,60,43,30,59
1,0,90,70,15,27,,77
0,0,75,37,50,53,75,50
1,0,50,74,10,34,,68
0,0,60,63,30,38,,61
1,1,40,59,30,46,,56
1,0,80,69,40,30,60,71
1,0,65,61,80,39,20,58
0,0,43,51,45,46,,58
0,1,80,62,20,24,60,82
0,1,60,64,40,36,,70
0,0,75,,75,,,
1,0,50,60,40,33,,71
0,1,75,68,15,34,40,67
1,0,75,61,80,37,50,66
0,0,60,57,55,42,,64
1,1,50,62,50,38,50,60
1,0,60,66,60,32,25,64
1,1,35,52,55,45,35,56
0,0,70,63,40,42,,67
0,0,60,61,40,40,,67
0,0,65,66,50,34,50,67
1,0,60,71,70,34,,67
0,0,40,46,50,53,,45
1,0,20,43,80,51,10,50
0,0,40,54,40,29,80,78
0,1,25,43,75,53,,50
