vvweight_post,person_of_color,college,female,medicare_expand,vote_wait,votereg_problem
1.2580555,0,1,1,1,,0
.54322954,0,1,0,1,,0
1.004049,0,1,1,1,,0
.5166607,0,1,1,0,,0
.27796348,0,1,0,1,,0
.7057091,0,0,1,1,,0
1.2317704,1,1,1,1,15,0
.91414801,0,1,0,1,,0
.73897363,0,1,1,0,,0
1.1880951,0,1,1,1,,0
.80618346,0,0,1,1,,0
.5166607,0,1,1,1,,0
4.6722532,1,1,1,1,,0
1.189141,0,1,1,1,,0
.35759598,0,1,1,1,,0
1.0841981,0,0,1,1,,0
.73897363,0,1,1,1,,0
.89584012,0,1,1,1,,0
.36515433,0,0,0,1,45,0
.73897363,0,0,1,1,,0
1.2580555,0,1,1,1,,0
.3680336,0,0,0,1,,0
.69117043,0,1,0,1,,0
.57391088,0,1,1,1,,0
1.5400447,0,1,1,0,0,0
.48783639,0,0,1,1,,0
.68640304,0,0,0,1,,0
.467867,0,1,0,1,,0
.9189825,1,0,1,0,,0
1.4212949,0,1,1,1,,0
.33554197,0,1,0,1,,0
.41270505,0,0,1,1,,0
2.0789246,0,1,0,0,,0
.65761034,0,1,1,1,90,0
.69849457,0,1,0,0,,0
1.0279785,0,1,1,0,,0
1.0804393,0,1,0,0,,0
.76463404,0,1,1,1,,0
.56388132,0,0,1,1,,0
.72845641,0,0,1,0,,1
.26042106,1,1,1,1,,0
.88351084,0,1,1,1,,0
.49375124,0,1,0,1,15,0
.71447382,0,1,0,1,,0
.74101801,0,1,1,1,,0
.50363965,0,1,1,1,,0
.57621553,0,1,1,1,,0
.73173384,0,1,0,1,,0
.9071655,0,0,0,1,,0
.64429172,1,1,1,1,,0
1.1809837,0,1,1,1,,0
.64195814,0,0,0,1,,0
.80807463,0,0,1,1,,0
1.1809837,0,1,1,1,,0
1.1956594,0,1,1,1,,0
.48581095,0,0,1,0,,0
.35759598,0,1,1,0,,0
.69667494,0,1,0,1,,0
.82120334,0,1,1,1,,0
.77282022,0,0,1,0,,0
3.7136798,0,1,0,0,,0
.73173384,0,1,0,0,,0
.45531843,1,1,1,1,,0
1.1514457,0,0,0,0,,0
1.349046,0,1,1,0,,0
.57523799,0,0,0,1,,0
.70451543,0,1,0,1,,0
3.1418801,1,0,1,1,,0
.29735977,0,1,1,1,,0
1.1326401,0,0,0,0,,0
.40851215,0,1,0,1,,0
.72078924,0,0,1,1,,0
.27473845,0,1,0,1,,0
.32515145,0,1,0,1,,1
.49247923,0,1,1,1,,0
.48581095,0,0,1,1,,0
1.0691536,0,0,0,0,,0
.98881181,0,1,1,1,15,1
.53985226,0,1,0,1,,0
.35911699,0,0,0,1,,0
.64217703,0,1,1,0,15,0
.84722849,0,1,1,1,,0
.6189056,0,1,1,0,0,0
.37281451,0,1,0,1,,0
.74309966,0,0,1,0,,0
.41125444,0,0,1,1,,0
.66008281,0,1,0,1,,0
.73173384,0,1,0,1,,0
.92698325,0,0,1,1,,0
.6488226,0,1,1,0,,0
.36742365,0,1,0,1,,0
.97494889,1,1,1,1,,0
.68663929,0,1,1,1,,0
.83182422,0,1,0,1,,0
.31935111,1,1,1,1,,0
.65004813,0,1,1,0,,0
.74504848,0,1,1,1,,0
.58032707,0,1,0,0,,0
.74702092,0,1,1,1,,0
.69488258,0,1,1,1,,0
.73173384,0,1,0,1,,0
.51820602,0,0,1,1,,0
1.1530689,0,0,0,1,,0
.1238223,0,1,0,1,,0
.73897363,0,1,1,1,,0
.55059158,0,1,1,1,15,0
.47252839,0,0,1,1,,0
1.189141,0,1,1,1,,0
.48581095,0,1,1,1,,0
.53728402,0,1,1,1,5,0
1.0540986,0,1,1,1,,0
.73173384,0,1,0,1,,0
1.1711533,0,1,0,0,0,0
.92873121,0,1,1,0,5,0
.76333545,0,1,1,0,,0
1.7352069,0,0,0,0,,0
.61167785,0,1,1,1,,0
.14935533,1,0,0,1,,0
.68439679,0,1,0,0,,0
.36515433,0,0,0,1,,0
.67483658,0,0,0,1,,0
.37977363,0,0,1,0,,0
.63932903,0,1,0,0,,0
.84439361,0,0,0,1,,0
.5638077,0,0,1,1,,0
.49363628,0,0,1,1,,0
.59479531,0,0,1,1,,0
.94688293,0,0,1,0,,0
.65004813,0,1,1,0,,0
.57643388,0,1,1,1,,0
.63021334,0,1,0,1,,0
.82120334,0,1,1,1,,0
.12922255,0,1,1,1,,0
.74389995,0,1,1,1,,0
.78834271,0,1,1,1,,0
